
Image Name                     PID Session Name        Session#    Mem Usage
conhost.exe                  18964 Console                    3      1,608 K
bash.exe                      1296 Console                    3        696 K
conhost.exe                  15116 Console                    3      1,320 K
powershell.exe                7916 Console                    3      9,084 K
conhost.exe                  20380 Console                    3      1,664 K
bash.exe                      9252 Console                    3        828 K
conhost.exe                  19400 Console                    3      1,764 K
powershell.exe               12032 Console                    3      9,092 K
bash.exe                      8528 Console                    3      1,440 K
bash.exe                      8664 Console                    3      5,972 K
bash.exe                      4292 Console                    3      1,580 K
bash.exe                     18428 Console                    3      1,752 K
Grammarly.Desktop.exe        10884 Console                    3    322,912 K
msedgewebview2.exe           20060 Console                    3     85,288 K
msedgewebview2.exe            7736 Console                    3      3,292 K
msedgewebview2.exe           12852 Console                    3     26,368 K
msedgewebview2.exe           14712 Console                    3     21,144 K
msedgewebview2.exe           14000 Console                    3      9,068 K
msedgewebview2.exe            9580 Console                    3     57,248 K
chrome.exe                    1536 Console                    3    188,948 K
ShellHost.exe                 9884 Console                    3     34,620 K
svchost.exe                   4280 Services                   0     16,856 K
WmiPrvSE.exe                 20172 Services                   0     15,164 K
audiodg.exe                  15664 Services                   0     20,360 K
svchost.exe                   4276 Services                   0      9,088 K
bash.exe                     19180 Console                    3      9,680 K
python.exe                   20456 Console                    3     12,260 K
tasklist.exe                 18448 Console                    3     11,352 K
